anio,mes,dpto,prov,dist,cultivo,sup_cosechada,produccion_t,rendimiento_kgha,precio_chacra,altitud,temp_max,temp_min,temp_media,amplitud_termica,riesgo_helada,humedad,precipitacion
2017,1,ICA,ICA,LA_TINGUINA,MAIZ_AMARILLO_DURO,45.0,452.25,10050.0,1.1,429,31.5,20.0,25.8,11.5,0,83.6,26.9
2017,1,ICA,ICA,LA_TINGUINA,SANDIA,10.0,352.0,35200.0,0.9,429,31.5,20.0,25.8,11.5,0,83.6,26.9
2017,1,ICA,ICA,PARCONA,MAIZ_AMARILLO_DURO,10.0,97.5,9750.0,1.0,407,32.7,20.2,26.4,12.5,0,63.6,35.7
2017,1,ICA,ICA,SAN_JOSE_DE_LOS_MOLINOS,MAIZ_AMARILLO_DURO,80.0,808.0,10100.0,1.1,794,27.2,18.8,23.0,8.4,0,78.6,88.8
2017,1,ICA,ICA,SAN_JOSE_DE_LOS_MOLINOS,SANDIA,6.0,201.0,33500.0,0.95,794,27.2,18.8,23.0,8.4,0,78.6,88.8
2017,1,ICA,PALPA,PALPA,MAIZ_AMARILLO_DURO,1.0,8.9,8900.0,1.2,340,34.5,21.9,28.2,12.6,0,66.6,37.3
2017,1,ICA,PALPA,PALPA,SANDIA,3.5,146.95,41985.7,0.45,340,34.5,21.9,28.2,12.6,0,66.6,37.3
2017,1,ICA,PALPA,PALPA,ZAPALLO,1.0,48.5,48500.0,0.7,340,34.5,21.9,28.2,12.6,0,66.6,37.3
2017,1,ICA,PISCO,HUMAY,MAIZ_AMARILLO_DURO,95.0,855.05,9000.5,0.9,293,31.0,20.6,25.8,10.4,0,75.0,3.8
2017,1,ICA,PISCO,HUMAY,PALLAR_GRANO_SECO,6.0,14.8,2466.7,6.0,293,31.0,20.6,25.8,10.4,0,75.0,3.8
2017,1,ICA,PISCO,HUMAY,SANDIA,3.5,80.0,22857.1,0.6,293,31.0,20.6,25.8,10.4,0,75.0,3.8
2017,1,ICA,PISCO,HUMAY,TOMATE,5.0,375.5,75100.0,0.7,293,31.0,20.6,25.8,10.4,0,75.0,3.8
